序号,问题现象,问题描述,结论,解决办法,原始网站,备注
1431,在教学楼上课期间，当大量用户（1.7K~1.8K左右）接入采用集中转发模式的AP后，WX5560H设备的Slot2（IRFMaster）CPU使用率显著升高，达到55%~56%。此时，总在线用户数量在3.7K~3.8K左右，无线终端能够访问网络，但上网速率明显变慢。,1.CPU使用率高：使用`displaycpu`命令查看CPU使用率，发现Slot2的CPU使用率在高负载时显著超过正常水平。2.流量情况：使用`displayinterface`命令查看聚合接口流量，发现流量在1Gbps以下，但CPU使用率依然很高。3.转发进程分析：查看CPU的转发进程，发现集中转发时AC的软转进程几乎跑满，多个[kdrvfwd]进程的CPU使用率都在2.7%以上，导致转发平面出现明显丢包。4.QoS配置：检查接口配置发现用户开启了QoS，这可能降低了转发效率。5.用户隔离配置：用户隔离在服务模板下开启，可能影响算法效率。6.本地转发与集中转发冲突：发现客户在同一终端上同时配置了本地转发和集中转发，导致MAC地址学习异常，引发MAC统计错误，大量流量进入CPU慢转，导致上网卡顿。,1.CPU使用率高：大量用户接入集中转发的AP后，CPU使用率显著升高，导致网络性能下降。2.QoS配置影响：AC上开启QoS配置降低了转发效率。3.用户隔离配置影响：在服务模板下开启用户隔离影响了算法效率。4.本地转发与集中转发冲突：同一终端同时配置本地转发和集中转发导致MAC地址学习异常，引发MAC统计错误，进一步加重了CPU负担。,1.升级软件版本：将设备软件升级到最新版本，以解决已知的MAC统计错误和性能问题。2.优化QoS配置：尽量不要在AC上开启QoS，以提高转发效率。3.调整用户隔离配置：将用户隔离配置从服务模板下移至全局配置，以提高算法效率。4.检查和优化转发模式：确保同一终端不要同时配置本地转发和集中转发，避免MAC地址学习异常。通过以上措施，可以有效降低CPU使用率，提高网络性能，解决用户上网卡顿的问题。,https://zhiliao.h3c.com/Theme/details/33784,
1432,在AC（无线控制器）进行版本升级时，有一台AP（接入点）一直卡在IL（ImageLoading）阶段，无法完成升级。,通过AC的诊断日志可以看到，AP提示下载完成后一直在反复下载相同版本的固件文件。具体日志如下：```Line10301:%Mar2210:07:49:8902022WX3540HCWS/6/CWSIMGDOWNLOAD_COMPLETE:Downloadingtheimagefilewa5300.ipeforAPAP-2throughtheCAPWAPtunneliscomplete.Line10306:%Mar2210:07:56:1042022WX3540HCWS/6/CWSIMGDOWNLOAD_START:APAP-2startedtodownloadtheimagefilewa5300.ipe.Line10462:%Mar2210:08:45:9422022WX3540HCWS/6/CWSIMGDOWNLOAD_COMPLETE:Downloadingtheimagefilewa5300.ipeforAPAP-2throughtheCAPWAPtunneliscomplete.Line10476:%Mar2210:08:54:9362022WX3540HCWS/6/CWSIMGDOWNLOAD_START:APAP-2startedtodownloadtheimagefilewa5300.ipe.```,登录到AP上查看日志和内存发现，AP的flash空间不足。具体表现为：老版本两个bin文件（`wa5300-boot.bin`和`wa5300-system.bin`）的总大小为21185536字节。AP上的剩余空间为912KB。新版本的两个bin文件的总大小为23636992字节。由此得出结论：AP上存在core文件，占用了大量空间，导致AP无法下载新版本的固件文件。,1.格式化AP的flash空间：通过格式化AP的flash空间，删除不必要的文件（如core文件），释放足够的空间。2.重新上线AP：格式化后，将AP重新上线，使其能够成功下载并升级新版本的固件文件。通过上述操作，该AP成功上线并完成了版本升级。,https://zhiliao.h3c.com/Theme/details/205218,
1433,在使用AirMagnetWifiAnalyzerPRO和AirMagnetSurveyPRO软件时，可能会遇到如下问题：在软件安装过程中需要选择许可证绑定方式。当AirMagnetSurveyPRO正在测量时，无法开始新的测量。,AirMagnet软件包包含两个主要工具：AirMagnetWifiAnalyzerPRO（用于空口性能分析）和AirMagnetSurveyPRO（用于热图制作和仿真工勘）。这两个工具通常需要与专用的无线网卡配合使用。安装和使用过程中需要注意以下几点：1.无线网卡驱动安装：确保无线网卡的驱动程序正确安装，直到系统成功识别出网卡。2.AirMagnet软件安装注意事项：-在安装过程中，需要选择一个软件许可证绑定选项：-将软件许可证与安装电脑的MAC地址绑定。-将软件许可证与无线网卡的MAC地址绑定。-选择绑定方式后无法更改，因此在安装时需要慎重考虑。-建议选择将许可证与无线网卡的MAC地址绑定，因为这样可以在不同机器上使用同一个无线网卡来运行软件。3.AirMagnet软件使用注意事项：-当AirMagnetSurveyPRO正在进行测量时，无法启动新的测量任务。-如果在打开软件时遇到上述提示，需要完全关闭软件并重新启动。,正确安装无线网卡驱动和合理选择许可证绑定方式是确保AirMagnet软件正常运行的关键。选择将许可证与无线网卡的MAC地址绑定可以提高软件的灵活性。在使用AirMagnetSurveyPRO时，如果需要开始新的测量任务，必须确保当前的测量任务已经完全结束并软件已完全关闭。,1.无线网卡驱动安装：-下载并安装与您的无线网卡型号匹配的驱动程序，确保系统能够正确识别网卡。2.许可证绑定选择：-在安装AirMagnet软件时，选择将许可证与无线网卡的MAC地址绑定，以增加软件的使用灵活性。-将无线网卡对应的许可证文件拷贝到软件安装目录下。3.使用中的测量冲突：-如果需要开始新的测量任务，确保当前的测量任务已经完全结束。-完全关闭AirMagnetSurveyPRO软件，然后再重新打开并启动新的测量任务。,https://zhiliao.h3c.com/Theme/details/220017,
1434,用户在使用通过大灵通基站布署的WLAN网络时，频繁出现掉线情况，且上网速度不稳定。,1.信号干扰严重：由于大灵通基站的抱杆上已安装了多种设备，空间有限，导致AP和天线在安装时采用背靠背的方式，从而产生了严重的信号干扰。2.SSID切换频繁：所有基站的AP提供相同的SSID，友商的无线终端在接收到多个相同的SSID信号时，会频繁在不同的AP之间切换，导致用户掉线和上网速度不稳定。,WLAN网络在大灵通基站上的布署方案存在明显的信号干扰和SSID切换问题，这些问题直接导致了用户的上网体验不佳。,1.调整天线安装位置：将每个基站上的天线错开安装，以减少信号干扰。如果大灵通基站抱杆上的空间不足，可以考虑在基站旁边重新立一些抱杆，安装AP及天线。2.修改SSID设置：为每个AP分配不同的SSID，建议使用“运营商名+厂商名+局点名+基站名+天线朝向”的命名规则，以避免无线终端在多个AP之间频繁切换，从而提高网络稳定性和用户上网体验。修订信息该案例最初发表于2009年7月17日，作者在2010年5月14日对此案例进行了修订。,https://zhiliao.h3c.com/Theme/details/89442,
1435,某局点采用EPON组网，接入点（AP）已成功上线，但终端设备无法获取IP地址。,"1.AP状态检查：通过命令`displaywlanapall`检查，显示AP已上线且状态正常。2.终端手动配置地址：手动为终端配置IP地址后，终端无法ping通核心交换机上的网关，表明存在二层转发问题。3.OLT配置检查：OLT接口配置中，已放通终端业务VLAN（42-44,101-105,111-115），并配置了管理VLAN（42）和相应的IP地址及网关。4.ONU配置检查：ONU接口配置中，管理VLAN（42）已绑定，且配置了多个UNI端口的VLAN模式和PVID。5.接入交换机抓包检查：在接入交换机（Poe交换机）的下线口（GigabitEthernet1/0/1）捕获到终端的DHCPDiscover报文，但在上行口（GigabitEthernet1/0/2）未捕获到任何报文。",问题出在接入交换机的配置上，特别是与AP和ONU互联的接口配置。具体来说，与AP互联的接口（GigabitEthernet1/0/1）未正确放通AP的管理VLAN和终端业务VLAN，导致DHCP请求无法从终端传递到DHCP服务器。,"1.与AP互联的接口配置：-配置接口GigabitEthernet1/0/1放通AP的管理VLAN和终端业务VLAN。-设置PVID为AP的管理VLANID。```plaintext#interfaceGigabitEthernet1/0/1poeenableportlink-typetrunkporttrunkpermitvlan<管理VLANID><终端业务VLANID>porttrunkpvidvlan<管理VLANID>```2.与ONU互联的接口配置：-配置接口GigabitEthernet1/0/2的PVID为AP的管理VLANID。```plaintext#interfaceGigabitEthernet1/0/2portlink-typetrunkporttrunkpvidvlan<管理VLANID>porttrunkpermitvlanall```备注管理VLANID：根据具体配置，通常是42。终端业务VLANID：根据具体配置，通常是43,101-105,111-115等。通过上述配置调整，确保DHCP请求能够正确传递到DHCP服务器，从而使终端设备能够成功获取IP地址。",https://zhiliao.h3c.com/Theme/details/170814,
1436,高校局点中，要求在每天22:00至次日8:00对所有使用学生账号登录的终端进行限速，而对使用老师账号登录的终端不限速。,该高校局点的网络架构如下：WX5560HAC（R5446P06）旁挂于核心交换机。核心交换机连接接入交换机，再连接AP。用户总数超过5000人，无线终端超过10000台。网络认证采用IMC的Portal认证，用户分为学生和老师两种类型。需要实现的功能：每天22:00至次日8:00，仅对学生账号登录的终端进行限速。老师账号登录的终端不受限速影响。,通过IMC将老师和学生账号分组，并在AC上配置对应的学生user-profile，通过QoSCAR限速设置实现仅对学生终端的限速。同时，通过AC的定时任务，在指定时间点（22:00和8:00）自动下发或删除限速配置，确保限速功能在指定时间段内生效。为保证AC时钟的准确性，需配置NTP时钟同步服务器。,1.IMC配置：-在IMC上将老师账号和学生账号添加到不同的用户组。-学生账号登录时下发特定的user-profile。2.AC配置：-配置学生user-profile，使用QoSCAR限速设置：```shell#user-profileclientratelimitqoscarinboundanycir5000cbs5000qoscaroutboundanycir5000cbs5000```3.定时任务配置：-创建定时任务`rate_disable`，在22:00时删除限速配置：```shell#schedulerjobrate_disablecommand1system-viewcommand2user-profileclientratelimitcommand3undoqoscarinboundcommand4undoqoscaroutboundcommand5quit```-创建定时任务`rate_enable`，在8:00时启用限速配置：```shell#schedulerjobrate_enablecommand1system-viewcommand2user-profileclientratelimitcommand3qoscarinboundanycir5000cbs5000command4qoscaroutboundanycir5000cbs5000command5quit```-配置定时任务的执行时间：```shell#schedulerschedulestartratedisableuser-rolenetwork-adminjobrate_enabletimerepeatingat22:00#schedulerschedulestopratedisableuser-rolenetwork-adminjobrate_disabletimerepeatingat8:00```4.NTP时钟同步配置：-为AC配置NTP时钟同步服务器，确保AC时钟的准确性：```shellntp-serviceunicast-server192.168.1.1```验证经实验室ixChariot打流测试验证，限速配置在指定时间点（22:00和8:00）通过定时任务下发后，限速和解除限速功能均能立即生效。,https://zhiliao.h3c.com/Theme/details/180217,
1437,某局点大堂的一台AP下绑定的3个SSID中，只有SSID1无法接入WIFI，而SSID2和SSID3可以正常接入。其他楼层的AP下，所有3个SSID都能正常接入。,组网及说明：现场采用的是本地转发模式，所有AP调用同一个map文件。具体问题：客户反馈大堂的AP下SSID1无法接入WIFI，但未提供任何具体的信息或日志。,1.个例问题：其他楼层的AP下所有SSID均能正常连接，初步判断这是一个个例问题，而非共性问题。2.排除单个AP故障：大堂的AP下SSID2和SSID3可以正常连接，排除了AP硬件和软件故障的可能性。3.VLAN划分问题：SSID1无法接入，而SSID2和SSID3可以接入，且所有SSID均为普通加密，最大的区别在于VLAN划分不同。因此怀疑SSID1无法接入的原因是终端上行设备VLAN不通，导致无法获取IP地址。4.排除AP配置问题：所有AP都调用同一个map文件，且都是本地转发模式，排除了AP配置问题。5.交换机端口配置问题：最终确定问题出在大堂AP上行接入的交换机下行口配置的VLAN信息不对，没有放通相应的VLAN，属于偶然漏配的情况。,1.检查交换机配置：排查大堂AP上行接入的交换机下行口的VLAN配置。2.修改配置：在交换机下行口配置中添加相应的VLAN信息，确保放通SSID1所需的VLAN。3.验证：修改配置后，重新测试SSID1的接入情况，确认问题已解决。该案例最终通过检查和修改交换机的VLAN配置解决了问题。,https://zhiliao.h3c.com/Theme/details/102018,
1438,某局点新上线的AC设备在完成绿洲开局部署指导文档的基础配置后，无法在绿洲上成功注册上线。,1.网络环境：AC设备存在多个出口，包括一条默认路由和一个对外出口开启NAT。2.初步排查：设备能够ping通外网域名和DNS解析绿洲域名，但AC设备仍然无法在绿洲上注册上线。3.详细分析：-默认路由影响：删除默认路由后，绿洲业务能够正常完成，但默认路由存在时通信不正常。-防火墙限制：与客户沟通后得知，默认路由出口路径上存在防火墙设备，防火墙对TCP连接有严格限制。-静态路由配置：为确保绿洲目的地址通过NAT出口进行通信，对绿洲目的地址进行了静态路由配置，但AC设备仍无法与绿洲关联。-TCP建链问题：开启绿洲隧道debug后发现，AC设备无法与oasisdev.h3c.com建立TCP连接。-多域名配置：为了解决TCP建链问题，加入了oasisdev.h3c.com及其他三个绿洲使用的域名的静态路由配置。,该问题的主要原因是AC设备默认去往绿洲地址时会按照缺省路由进行转发，而缺省路由路径上的防火墙设备对TCP连接有严格限制，导致AC设备无法成功与绿洲进行通信。通过修改静态路由，确保绿洲通信使用的所有域名及IP地址都通过NAT出口进行转发，最终解决了问题。,1.确认出口设备限制：确保出口设备（如防火墙）没有对TCP连接等绿洲通信必要的条件进行限制。2.修改静态路由：为绿洲使用的四个域名及IP地址配置静态路由，确保这些通信流量通过NAT出口进行转发。-oasis.h3c.com(139.217.27.153)：用于绿洲cloud-management隧道。-oasisdev.h3c.com(139.217.27.118)：用于绿洲cmtunnel隧道。-lvzhoudev.h3c.com(139.217.22.254)：用于绿洲平台与设备通信。-oasisauth.h3c.com(139.217.11.74)：用于绿洲认证。3.验证通信：配置完成后，通过开启绿洲隧道debug验证AC设备与绿洲的通信是否正常。通过上述步骤，AC设备能够成功在绿洲上注册上线，绿洲业务恢复正常。,https://zhiliao.h3c.com/Theme/details/55842,
1439,某局点采用WX5540E设备结合IMC进行Portal双机热备，当IMC主机正常时，Portal认证可以正常成功。但在IMC主机故障后，切换到备机时，设备侧修改配置将Portal指向IMC备机后，发现Portal认证失败，IMC主动发送下线报文，导致用户无法正常认证。,通过分析设备侧的debug信息，发现设备在主服务器故障后，认证超时需要重传两次才会切换到备用服务器。设备每隔3秒重发一次Radius报文，而IMC上Portal的超时时间默认为4秒。因此，当设备重传一次后，IMC那边的Portal已经达到超时时间，IMC会发送下线报文给设备，导致认证失败。,问题的根本原因是设备侧和IMC侧的超时时间设置不匹配。设备侧的Radius报文重传时间间隔较长，而IMC侧的Portal超时时间较短，导致在主服务器故障后，设备未能在IMC超时时间内成功切换到备用服务器，从而引发认证失败。,1.修改设备侧发送Radius报文的重传时间：将设备侧的Radius报文重传时间（timerresponse-timeout）从3秒改为1秒。2.修改IMC上Portal的超时时间：将IMC侧的Portal超时时间从4秒改为10秒。通过上述调整，确保设备在主服务器故障后能够在IMC的超时时间内成功切换到备用服务器，从而避免认证失败的问题。,https://zhiliao.h3c.com/Theme/details/8318,
1440,在使用打流软件进行测速时，发现AP在本地转发模式下，上下行测速值基本对等；但在集中转发模式下，AP的上下行测速值差异很大。,经过分析，发现测速时打流软件协商了一个很大的TCP窗口，导致数据报文分片。在集中转发模式下，上行的CAPWAP分片报文到达AC（无线控制器）时，由于FPGA不具备重组分片报文的能力，这些报文需要通过AC的软件进行重组，从而导致上行性能低下。而下行测速值正常，因为下行报文不需要在AC上进行重组，性能不受影响。,正常上网应用中，一般软件不会协商一个很大的TCP窗口，即使协商了，也不会每个报文都大到需要分片，因此不会影响正常上网的速度。但在集中转发模式下，使用打流软件进行测速时，由于报文分片和FPGA的限制，会导致上行测速性能显著下降。,可以通过配置TCPMSS（最大段大小）来解决这个问题。配置TCPMSS可以限制TCP报文的大小，避免报文分片，从而提高集中转发模式下的上行测速性能。,https://zhiliao.h3c.com/Theme/details/133323,
1441,大量用户突然无法通过Portal认证登陆，提交用户名、密码后返回“接入设备无响应”的错误信息。已上线用户不受影响，但新用户无法登陆。故障出现时间随机，持续几十分钟后又自行恢复。,某校园网局点采用WX6000系列无线控制器管理800多个AP，为学生宿舍、图书馆和教室提供无线接入服务，并使用IMC进行无线Portal认证。AC作为接入BAS认证设备，同时承担无线用户的NAT出口。故障期间，尽管AC与Portal服务器之间的网络连通性正常，且终端能够正常打开Portal页面，但AC未处理Portal服务器发送的认证报文，导致新用户无法通过Portal认证上线。,故障的直接原因是AC配置了NAT，且NAT出接口（即nas-ip接口）的源IP地址与Portal认证报文的接收IP地址相同。当Portal协议使用的UDP2000端口被NAT会话占用时，Portal服务器发送的认证报文被AC直接转发到内网用户，而非AC自身处理，导致认证失败。当2000端口释放后，Portal认证又能恢复正常，因此故障呈现时有时无的现象。,由于H3C的无线产品NAPT暂不支持预留特定的端口号（如2000），解决办法是在NAT出接口配置NAT地址池，并从地址池中剔除nas-ip地址。具体配置示例如下：```plaintextnataddress-group1XXX.36.131211.71.36.133interfaceVlan-interface15ipaddressXXX.36.130255.255.255.128natoutbound3998address-group1```通过上述配置，可以避免NAT会话占用Portal认证所需的UDP2000端口，从而解决认证失败的问题。,https://zhiliao.h3c.com/Theme/details/3753,
1442,在某局点中，使用集中转发模式时，Portal认证页面可以正常弹出并完成认证。但在使用本地转发模式时，Portal认证页面无法弹出。,现场故障现象与转发模式密切相关。进一步梳理配置后发现，AC（无线控制器）的web-server下配置了`server-detect`命令，用于探测Portal服务器的可达性。在集中转发模式下，AC与服务器之间的可达性没有问题，因此Portal重定向过程正常。但在本地转发模式下，AP（接入点）使用的是AP管理网段，且AP管理网段到服务器的网络不可达，导致Portal重定向异常。,问题的根本原因在于AC的web-server配置了`server-detect`命令，而本地转发模式下AP管理网段到Portal服务器的网络不通，导致Portal页面无法正常弹出。,1.删除Portalweb服务器的可达性探测功能命令：在AC的web-server配置中删除`server-detect`命令，以避免因网络不通导致的重定向问题。2.打通AP管理网段到服务器的路由：确保AP管理网段到Portal服务器的网络可达，从而在本地转发模式下也能正常弹出Portal认证页面。希望这个总结对您有所帮助。如果您有任何建议或需要进一步的信息，请随时反馈。,https://zhiliao.h3c.com/Theme/details/227696,
1443,：某局点在升级后，Portal认证功能不生效，终端设备无需进行Portal认证即可直接访问互联网。,：1.组网环境：该局点采用本地转发模式，配置了Portal认证。2.配置检查：在服务模板下配置了逃生功能，同时在PortalWeb服务器下配置了探测功能。3.测试情况：升级后，通过命令`displayportaluserall`未发现测试用户，但`displaywlanclientall`可以看到该用户，并且该用户可以直接访问互联网。取消逃生配置后，用户正常进行Portal认证。4.初步分析：经测试确认，用户在逃生模式下被允许直接访问互联网，说明AP认为PortalWeb服务器不通，触发了逃生机制。,：升级后，AP在探测PortalWeb服务器时无法解析其域名，导致认为PortalWeb服务器不通，进而触发逃生机制，使得终端设备无需Portal认证即可上网。而在之前的版本中，AP如果无法解析域名，则不会进行探测，终端设备仍会被要求进行Portal认证。,：1.配置DNS服务器：在AP上配置有效的DNS服务器，确保AP能够解析PortalWeb服务器的域名。2.下发map文件：通过下发map文件指定有效的DNS服务器给AP，解决域名解析问题，恢复Portal认证功能。通过以上方法，可以确保AP能够正确解析PortalWeb服务器的域名，从而避免因域名解析失败导致的逃生机制触发，恢复正常的Portal认证流程。,https://zhiliao.h3c.com/Theme/details/97811,
1444,WAP712C-LI型号的接入点（AP）在云模式下启动时，提示用户可以通过管理Wi-Fi或Oasis平台登录设备进行管理。,当WAP712C-LI型号的AP工作在云模式下，且版本为R1113P05-OASIS时，如果需要将其切换至瘦模式（FitMode），则可以通过在设备上电启动时进入bootware界面完成切换。,该问题可以通过在AP启动时进入EXTENDED-BOOTWARE界面，手动选择并切换AP模式至FitMode，然后更新瘦模式的版本文件，最终重启AP实现从云模式到瘦模式的切换。,1.切换模式-在AP上电启动过程中，按下`Ctrl+B`进入EXTENDED-BOOTWARE菜单。-选择`<4>BootWareOperationMenu`，然后按`Ctrl+Y`选择`ChangeAPMode`。-选择`2FitMode`以切换至瘦模式，系统会提示操作成功，并要求重启。2.手动上传瘦模式版本-重启AP后，再次进入EXTENDED-BOOTWARE菜单。-选择`<3>EnterEthernetSubMenu`，然后输入`5`进入`ModifyEthernetParameter`设置TFTP服务器的IP地址等网络参数。-返回主菜单，选择`<4>FileControl`，然后输入`2`选择`UpdateMainImageFile`。-输入TFTP服务器的IP地址和需要上传的瘦模式版本文件名（如`wa4300s.ipe`），系统会自动下载并解压文件到闪存中。-下载和解压完成后，选择`<0>ExitToMainMenu`返回主菜单。-选择`<0>Reboot`重启AP，以应用新的瘦模式版本。3.验证切换-重启后，再次进入EXTENDED-BOOTWARE菜单，确认系统版本和启动模式已更新为瘦模式版本。-使用命令`disversion`查看当前系统版本，确保已成功切换至瘦模式。,https://zhiliao.h3c.com/Theme/details/146492,
1445,用户在使用WA1208E设备时，对于其支持的ACL规则编号范围及类型存在疑问。,用户需要了解WA1208E设备支持的ACL规则的具体编号范围和类型，以便进行网络配置和管理。,WA1208E设备支持以下四种类型的ACL规则：1.二层访问控制列表（MACaddressaccess-list）：编号范围为200～299。2.二层扩展访问控制列表（AdvancedMACaddressaccess-list）：编号范围为700～799。3.基本访问控制列表（Basicaccess-list）：编号范围为2000～2999。4.扩展访问控制列表（Advancedaccess-list）：编号范围为3000～3999。,1.确认需求：根据网络配置的具体需求，选择合适的ACL规则类型。2.配置ACL：在WA1208E设备上，使用相应的命令配置指定编号范围的ACL规则。3.验证配置：配置完成后，通过命令行或管理界面验证ACL规则是否生效。4.参考文档：如有需要，可以参考设备的官方文档或用户手册，获取更详细的配置指南和示例。希望以上总结对您有所帮助。如果您有任何进一步的问题或建议，请随时反馈。,https://zhiliao.h3c.com/Theme/details/80749,
1446,部分新购的WA5530型号AP无法跨三层注册上线，而其他AP正常注册。,随着业务增长，某行业客户需要对现有的无线网络进行扩容，因此新购了一批WA5530型号的AP。客户已有12台V7平台的无线控制器，现有AP通过option43下发无线控制器地址实现跨三层注册上线。虽然大部分新增的WA5530能正常注册上线，但部分AP无法完成注册。,问题的原因在于AP在bootrom界面最多只能解析4个通过option43属性下发的IP地址，而现场的配置中，AP需要解析12个AC的IP地址。因此，未解析出目标ACIP地址的AP无法正常注册上线。,1.调整DHCP侧的option43属性配置：将目标AC的IP地址配置到option43属性内IP地址的前四个之内，确保AP在bootrom阶段能够解析到目标AC的IP地址。2.手工给AP导入IPE版本：如果调整DHCP配置不可行，可以尝试手工给无法注册的AP导入IPE版本，以解决问题。附件WA5530跨三层注册不成功解决办法.rar：包含详细的操作步骤和相关配置信息。,https://zhiliao.h3c.com/Theme/details/56208,
1447,某局点在更换了新的AC（2609p61）之后，AP（WA4320H-ACN）出现大面积掉线，ACpingAP时出现严重丢包。,1.背景信息：该局点之前使用WX5540E和WA4320H-ACN部署无线网络，一直正常运行。后来因AC故障，更换为新的AC（2609p61），新AC的版本比之前的高。2.问题发现：更换新AC后，AP注册到新AC时出现大面积掉线，ACpingAP测试显示严重丢包。3.初步排查：开始怀疑是有线网络问题，但客户确认有线网络未做变更，老版本AC也使用正常。进一步检查发现，现场使用的网线为4芯网线，而非标准8芯网线。4.日志分析：查看AC2609p61和AP150811的掉线日志，发现AP的上行口持续出现updown，导致ping测试丢包，AP注册隧道中断，AP掉线。5.对比测试：将AP手动降级到老版本1508p02后，使用同样的4芯网线进行测试，发现一切正常，接口未出现updown，也没有丢包。,1.问题定位：新版本AC和AP在使用4芯网线时存在对接问题，导致接口频繁updown，引起丢包和AP掉线。2.研发确认：经过研发远程定位，确定问题是由于WA4320H-ACN的以太GMAC芯片在协商为100M速率时概率性时序问题引起的。3.已知问题：该问题在软件中已知，计划在B09D057版本中解决。,1.临时解决：强制AP上连端口速率为10Mbps，所有接入交换机下联WA4320H接口也强制设置为10Mbps。测试结果显示长ping不丢包，平均响应时间为1ms。2.版本降级：将所有面板AP版本降级至P51，然后将端口速率恢复为自协商，业务恢复正常。3.长期建议：在后期部署有线网络时，使用标准8芯网线，以避免4芯网线无法协商成千兆速率的问题。希望这个总结对您有所帮助。,https://zhiliao.h3c.com/Theme/details/22201,
1448,客户反馈其WT1020设备启动后可以正常上线，但会隔一段时间频繁异常重启。设备的sys灯在正常注册后变为红色，且有另一台同型号设备也出现红灯但未重启的情况。,1.设备异常重启：WT1020设备启动后可以正常上线，但隔一段时间会异常重启。2.红灯常亮：设备的sys灯在正常注册后变为红色，表示检测到严重故障。3.另一台设备情况：另一台同型号设备也出现红灯，但没有异常重启现象。4.交换机侧日志：查看交换机侧日志未发现掉电情况。,经过分析，设备异常重启的原因很可能是由于温度过高导致。具体表现为：设备入风口的温度值已经超过了预警值，导致sys灯亮红灯。另一台同型号设备也出现红灯但未重启，进一步支持了温度高是导致问题的关键因素。,1.重启设备：让客户重启上线异常重启的设备。2.改善散热：将设备放置在通风散热良好的地方。3.观察情况：观察一段时间，确认设备无异常重启现象。最终，客户按照上述方法处理后，设备恢复正常，问题得以解决。,https://zhiliao.h3c.com/Theme/details/61688,
1449,无线设备发生断电后无法正常重启或系统异常，导致license无法正常使用。,在进行无线设备的断电演练时，存在以下风险和注意事项：1.异地灾备：尽量在异地灾备条件下进行断电演练，以便在出现意外情况时及时接管业务。2.文件备份：将license文件、配置文件和map文件做好备份，防止数据丢失。3.冗余设备：客户现场最好备有冗余设备，以应对意外情况。4.设备诊断：断电前收集一份设备诊断信息，以便设备重启完成后进行对比。5.操作记录：做好完整的断电演练过程记录，记录每一个操作及其对应的时间节点。6.授权码确认：确认客户的license授权码（《软件使用授权书》上的授权序列号）和设备SN。7.临时license：提前申请相应数量的临时license，以便在出现意外情况时及时恢复业务。,进行无线设备的断电演练时，应充分准备和谨慎操作，以减少对业务的影响和数据丢失的风险。如果设备在断电后无法正常重启或系统异常，需要及时采取措施恢复业务。,1.V5设备：-由于V5设备不能在官网上自助进行“license卸载”和“license迁移”，需填写工作联络单，并由办事处服务经理审核。-当解绑操作完成后，直接使用原授权文件在新设备上激活（在官网激活）即可。2.V7/V9/AC硬件故障：-如果设备因硬件故障无法启动，需要进行备件更换，已安装的license需要做授权变更。-操作步骤：1.访问H3C公司官网：https://licensing.h3c.com/，点击左侧的“设备更换授权变更申请”。2.选择产品分类：无线_H3CWLANACV7V9。3.填写备件RMA号（H3C备件管理系统生成的RMA号）。4.填写新设备的S/N和DID文件，以及用户信息，点击“提交”。5.提交后，系统将返回新设备的License激活码。参考链接H3CBPM系统：http://bpm.h3c.comH3C知识库：https://zhiliao.h3c.com/Theme/details/102385日期2022-10-03评价该案例对您是否有帮助：有用/无用您的评价：1若您有关于案例的建议，请反馈：建议反馈,https://zhiliao.h3c.com/Theme/details/214173,
1450,用户询问V7的AC是否支持终端VIP相关功能，特别是针对D029分支的版本中的VIP功能。,在D029分支的版本中，VIP功能已经在C5420的版本中实现。该功能主要涉及以下几个方面：1.全网漫游：在AC上设置为VIP的终端，在任何被AC管理的AP上均享受VIP待遇，且当VIP终端离开AP后，该AP的设置会自动恢复默认。2.报文优先转发：VIP终端的上下行报文在AP内部会优先处理，确保低时延。3.防Burst流量冲击：为VIP终端预留了独立的缓存资源，以防止瞬时流量高导致的报文丢弃。4.高优先级终端提高空口竞争能力：VIP终端在软件调度和信道竞争中全程享有优先通过的待遇。5.非高优先级终端动态限速：为防止非VIP用户占用过多空口资源，对同Radio的非VIP用户进行了限速处理，限速值可调节，但不保证优先接入。,V7的AC支持终端VIP相关功能，并且在D029分支的版本中已经实现了这些功能。这些功能可以单独使用，但与绿洲配合使用时体验更佳。VIP功能主要包括全网漫游、报文优先转发、防Burst流量冲击、提高空口竞争能力和非高优先级终端动态限速。,为了配置VIP客户端，可以使用以下命令：1.创建VIP客户端组：```bashwlanvip-client-group<group_name>```如果VIP客户端组已经存在，则直接进入该组的视图。2.添加客户端的MAC地址：```bashclient-mac<MAC_address>```全局下最多可以添加64个MAC地址。通过上述配置命令，可以确保VIP终端在全网范围内享受优先待遇，提高网络使用体验。,https://zhiliao.h3c.com/Theme/details/62165,
